City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Chhabra,IN,70.7,clear sky,24.67,76.83,Royal place merrage Hall
7,Waipawa,NZ,60.8,few clouds,-41.41,175.52,Tora Coastal Walk
9,Saldanha,ZA,77.0,clear sky,-33.01,17.94,
14,Hermanus,ZA,69.01,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
15,Ancud,CL,64.0,clear sky,-41.87,-73.82,Hotel Arena Gruesa
16,Alice Springs,AU,68.0,scattered clouds,-23.7,133.88,Desert Palms Alice Springs
18,Avarua,CK,73.4,overcast clouds,-21.21,-159.78,Paradise Inn
19,Atuona,PF,78.1,few clouds,-9.8,-139.03,Villa Enata
22,Johi,PK,77.58,clear sky,26.69,67.61,Mohmmadi masjid chandan mori
25,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
27,Puerto Ayora,EC,71.01,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
28,Arraial Do Cabo,BR,69.8,mist,-22.97,-42.03,Pousada Porto Praia
30,Lebu,CL,61.61,few clouds,-37.62,-73.65,Hostal Las Lilas
35,Barbastro,ES,71.01,clear sky,42.04,0.13,Gran Hotel Ciudad De Barbastro
37,Porto Walter,BR,70.95,overcast clouds,-8.27,-72.74,Hotel Silva
38,Kieta,PG,78.91,overcast clouds,-6.22,155.63,
40,Rikitea,PF,74.82,few clouds,-23.12,-134.97,Pension Maro'i
42,Kahului,US,78.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
49,Port Alfred,ZA,66.61,broken clouds,-33.59,26.89,The Halyards Hotel
50,Hilo,US,73.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
52,Mahebourg,MU,69.8,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
55,Kapaa,US,69.8,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
57,Saint-Philippe,RE,71.6,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
61,Lazaro Cardenas,MX,78.76,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
63,Nizwa,OM,72.97,clear sky,22.93,57.53,Orient Apartments
67,Souillac,MU,69.8,shower rain,-20.52,57.52,Bils' Villa
70,Port Elizabeth,ZA,69.8,clear sky,-33.92,25.57,39 On Nile Guest House
71,Bredasdorp,ZA,66.2,clear sky,-34.53,20.04,Bredasdorp Country Manor
72,Corinto,GR,69.01,clear sky,37.94,22.96,Ephira Hotel
73,Faanui,PF,78.51,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
80,Sucua,EC,71.6,broken clouds,-2.47,-78.17,Hotel Barza
83,Guerrero Negro,MX,67.84,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
87,Castro,BR,60.96,overcast clouds,-24.79,-50.01,CHACARA BAILLY
88,Kaeo,NZ,61.0,scattered clouds,-35.1,173.78,Bushido Lodge
93,Buala,SB,79.88,broken clouds,-8.14,159.59,Maringe Lagoon Lodge
102,Cidreira,BR,67.57,overcast clouds,-30.18,-50.21,Hotel Castelo
104,Geraldton,AU,68.0,broken clouds,-28.77,114.6,Broadwater Mariner Resort
105,Ahuimanu,US,73.4,clear sky,21.44,-157.84,Paradise Bay Resort
108,Airai,TL,61.88,clear sky,-8.93,125.41,Juvinal Martin
109,Beloha,MG,76.93,clear sky,-25.17,45.05,
111,Ponta Do Sol,PT,75.99,few clouds,32.67,-17.1,Hotel do Campo
115,Mantua,IT,64.0,overcast clouds,45.17,10.78,Hotel la Favorita
124,Kruisfontein,ZA,66.99,scattered clouds,-34.0,24.73,Oyster Bay House Rental
132,Nouadhibou,MR,77.0,clear sky,20.93,-17.03,El Medina
137,Lasa,IT,61.0,clear sky,46.62,10.7,Pension Feldgärtenhof
139,Vila,PT,62.01,overcast clouds,42.03,-8.16,Hotel Castrum Villae
140,Cabo San Lucas,MX,68.0,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
141,Cacapava Do Sul,BR,66.83,few clouds,-30.51,-53.49,Hotel Portal
147,Amuntai,ID,75.49,overcast clouds,-2.42,115.25,Hotel Balqis
148,Richards Bay,ZA,67.98,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
149,Itatiaia,BR,67.41,overcast clouds,-22.5,-44.56,La Ponsa
150,Chuy,UY,63.41,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
156,Rockhampton,AU,73.4,clear sky,-23.38,150.5,Mercure Rockhampton
159,Mojokerto,ID,74.19,overcast clouds,-7.47,112.43,OYO 425 Mojokerto Guesthouse
161,Igdir,TR,66.2,broken clouds,39.92,44.05,Igdir Central Hotel Emperor Hotel
163,Tautira,PF,73.4,few clouds,-17.73,-149.15,Pension Oaoa
165,Cape Town,ZA,69.8,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
172,Chake Chake,TZ,79.16,clear sky,-5.25,39.77,Hotel Archipelago
175,Kermanshah,IR,68.0,clear sky,34.31,47.06,Sina Hotel
179,Lagoa,PT,68.67,overcast clouds,39.05,-27.98,Casa Das Faias
182,Faya,SA,71.6,scattered clouds,18.39,42.45,مقبرة ال مجمل
